Sample	Type	Subtype	Color	Color2	MeanMethylation
BP_venous_blood_S00XWJA1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.778181
BP_venous_blood_S00Y05A1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.676819
BP_venous_blood_S00Y13A1_myeloid_cell_AcuteMyeloidLeukemia	Myeloid cancer	AcuteMyeloidLeukemia	orange	'#9AC48A'	0.790653
BP_venous_blood_S01FG4A1_NA_ChronicLymphocyticLeukemia	Lymphoid cancer	ChronicLymphocyticLeukemia	green	'#A983F2'	0.432687
BP_venous_blood_S01FE8A1_NA_MantleCellLymphoma	Lymphoid cancer	MantleCellLymphoma	green	'#FAC0FF'	0.394302
BP_venous_blood_S01FF6A1_NA_MantleCellLymphoma	Lymphoid cancer	MantleCellLymphoma	green	'#FAC0FF'	0.408582
BP_venous_blood_S01FH2A1_NA_MantleCellLymphoma	Lymphoid cancer	MantleCellLymphoma	green	'#FAC0FF'	0.559808
BP_venous_blood_S01FJZA1_NA_MantleCellLymphoma	Lymphoid cancer	MantleCellLymphoma	green	'#FAC0FF'	0.263101
BP_venous_blood_S01FKXA1_NA_MantleCellLymphoma	Lymphoid cancer	MantleCellLymphoma	green	'#FAC0FF'	0.507087
BP_bone_marrow_G203_plasma_cell_MultipleMyeloma	Lymphoid cancer	MultipleMyeloma	green	'#C1B62B'	0.533565
BP_bone_marrow_G204_plasma_cell_MultipleMyeloma	Lymphoid cancer	MultipleMyeloma	green	'#C1B62B'	0.151964
BP_bone_marrow_S00XCMA1_plasma_cell_MultipleMyeloma	Lymphoid cancer	MultipleMyeloma	green	'#C1B62B'	0.143457
BP_bone_marrow_S00XDKU1_plasma_cell_MultipleMyeloma	Lymphoid cancer	MultipleMyeloma	green	'#C1B62B'	0.111914
BP_venous_blood_S00AYXU1_NA_ChronicLymphocyticLeukemia	Lymphoid cancer	ChronicLymphocyticLeukemia	green	'#A983F2'	0.366269
BP_venous_blood_S00B0NU1_NA_ChronicLymphocyticLeukemia	Lymphoid cancer	ChronicLymphocyticLeukemia	green	'#A983F2'	0.586407
BP_venous_blood_S00B1LU1_NA_ChronicLymphocyticLeukemia	Lymphoid cancer	ChronicLymphocyticLeukemia	green	'#A983F2'	0.472465
BP_venous_blood_S00B2JA1_NA_ChronicLymphocyticLeukemia	Lymphoid cancer	ChronicLymphocyticLeukemia	green	'#A983F2'	0.415724
BP_venous_blood_S00GPRA1_NA_ChronicLymphocyticLeukemia	Lymphoid cancer	ChronicLymphocyticLeukemia	green	'#A983F2'	0.442162
BP_bone_marrow_S00XEIU1_plasma_cell_MultipleMyeloma	Lymphoid cancer	MultipleMyeloma	green	'#C1B62B'	0.24374
